0.006,18.000,2.310,0,0.538,6.575,65.200,4.090,1,296.000,15.300,396.898,4.980,24.000
0.027,0,7.070,0,0.469,6.421,78.900,4.967,2,242.000,17.800,396.898,9.140,21.600
0.027,0,7.070,0,0.469,7.185,61.100,4.967,2,242.000,17.800,392.828,4.030,34.700
0.032,0,2.180,0,0.458,6.998,45.800,6.062,3,222.000,18.700,394.629,2.940,33.400
0.069,0,2.180,0,0.458,7.147,54.200,6.062,3,222.000,18.700,396.898,5.330,36.200
0.030,0,2.180,0,0.458,6.430,58.700,6.062,3,222.000,18.700,394.119,5.210,28.700
0.088,12.500,7.870,0,0.524,6.012,66.600,5.560,5,311.000,15.200,395.600,12.430,22.900
0.145,12.500,7.870,0,0.524,6.172,96.100,5.950,5,311.000,15.200,396.898,19.150,27.100
0.211,12.500,7.870,0,0.524,5.631,100.000,6.082,5,311.000,15.200,386.629,29.930,16.500
0.170,12.500,7.870,0,0.524,6.004,85.900,6.592,5,311.000,15.200,386.709,17.100,18.900
0.225,12.500,7.870,0,0.524,6.377,94.300,6.347,5,311.000,15.200,392.520,20.450,15.000
0.117,12.500,7.870,0,0.524,6.009,82.900,6.227,5,311.000,15.200,396.898,13.270,18.900
0.094,12.500,7.870,0,0.524,5.889,39.000,5.451,5,311.000,15.200,390.500,15.710,21.700
0.630,0,8.140,0,0.538,5.949,61.800,4.707,4,307.000,21.000,396.898,8.260,20.400
0.638,0,8.140,0,0.538,6.096,84.500,4.462,4,307.000,21.000,380.020,10.260,18.200
0.627,0,8.140,0,0.538,5.834,56.500,4.499,4,307.000,21.000,395.619,8.470,19.900
1.054,0,8.140,0,0.538,5.935,29.300,4.499,4,307.000,21.000,386.850,6.580,23.100
0.784,0,8.140,0,0.538,5.990,81.700,4.258,4,307.000,21.000,386.750,14.670,17.500
0.803,0,8.140,0,0.538,5.456,36.600,3.796,4,307.000,21.000,288.988,11.690,20.200
0.726,0,8.140,0,0.538,5.727,69.500,3.796,4,307.000,21.000,390.949,11.280,18.200
1.252,0,8.140,0,0.538,5.570,98.100,3.798,4,307.000,21.000,376.568,21.020,13.600
0.852,0,8.140,0,0.538,5.965,89.200,4.012,4,307.000,21.000,392.529,13.830,19.600
1.232,0,8.140,0,0.538,6.142,91.700,3.977,4,307.000,21.000,396.898,18.720,15.200
0.988,0,8.140,0,0.538,5.813,100.000,4.095,4,307.000,21.000,394.539,19.880,14.500
