31 9
23 59
25 96
16 21
44 51
4 11
27 28
13 23
69 78
71 59
58 78
14 72
32 22
43 3
5 40
42 54
72 56
53 64
1 4
12 75
51 50
24 10
8 22
9 4
67 49
69 19
6 52
86 49
13 76
77 86
30 52
67 97
83 90
38 87
7 1
48 75
14 33
37 4
26 50
26 42
70 6
35 96
25 61
30 54
74 40
63 77
99 65
73 81
82 9
82 80
35 98
3 11
63 65
19 98
34 22
35 36
37 76
26 86
71 73
43 53
17 40
6 60
81 22
29 68
17 79
28 62
3 79
65 1
92 68
68 49
18 4
73 23
67 69
30 22
71 49
99 79
50 62
24 23
42 4
36 56
86 89
28 85
77 87
66 80
77 52
70 53
30 68
73 54
37 59
13 46
27 22
89 21
71 53
43 40
37 23
66 94
93 45
73 72
